A,Ci,Qin,Tleaf,CurveID,FittingGroup
29.245752692580496,513.8878165713326,1999.985,15.7125,1,1
29.05107854916669,525.7187033621287,2000.03,15.7174,1,1
29.600313195733907,525.7043491707368,2000.03,15.72035,1,1
29.860293234452215,533.5745555449192,2000.02,15.7347,1,1
29.927590673899644,536.5071321342571,2000.015,15.7394,1,1
30.17976671681821,544.4677393285733,1999.99,15.7437,1,1
30.3430788409079,547.0663515238706,1999.995,15.7398,1,1
30.072761475384908,559.1502413551422,2000.0,15.7341,1,1
29.82440586575807,564.4001134796707,1999.995,15.73865,1,1
29.905504553729124,573.8282963596281,2000.0,15.7479,1,1
30.02971464848426,576.7149017955271,2000.0,15.7454,1,1
30.12895578526368,586.5573204415015,1999.99,15.7361,1,1
30.246807864494155,589.4185552673707,1999.995,15.7358,1,1
